year,region,educ,educ_count,educ_share
2011,South,Some college,19413820.786525726,0.2616854685991494
2011,South,High school,23221153.781098682,0.3130058001172672
2011,South,College,13658789.344793955,0.18411144974977017
2011,South,Less than high school,10346882.828294119,0.13946913960089113
2011,West,Some college,13348309.95297114,0.28756636496095866
2011,West,College,9664360.898925781,0.2082020228153537
2011,West,Less than high school,6453425.407498677,0.13902794380108147
2011,West,High school,11873303.52087148,0.2557898899264904
2011,West,Advanced,5078789.477657318,0.10941377849611571
2011,Northeast,Less than high school,3963121.5206476846,0.10690256216406784
2011,Northeast,High school,12202408.358378092,0.32915183430198436
2011,Northeast,Advanced,4977228.748958588,0.1342574288898854
2011,Northeast,College,7750862.2396736145,0.2090743440706861
2011,Northeast,Some college,8178657.293134053,0.22061383057337636
2011,Midwest,College,8177119.525652568,0.18694042616350964
2011,Midwest,Some college,12154480.3219134,0.2778684748396355
2011,Midwest,High school,14643550.431591034,0.33477211011049907
2011,Midwest,Less than high school,4352586.7228724165,0.09950623986048056
2011,Midwest,Advanced,4414110.031636556,0.10091274902587515
2012,South,Advanced,7684893.0978597,0.10105406684479745
2012,South,College,14308139.506720224,0.18814779434465856
2012,South,High school,23650871.60667928,0.31100195277208575
2012,South,Some college,20224718.211722057,0.26594905095736
2012,South,Less than high school,10178718.74600347,0.13384713508109833
2012,West,Less than high school,6499908.991799672,0.13820529280936392
2012,West,Some college,13453117.424724579,0.2860489331817586
2012,West,High school,11693129.203689575,0.2486269188526277
2012,West,Advanced,5470783.54101944,0.1163233580865717
2012,West,College,9913886.212187449,0.2107954970696781
2012,Northeast,Advanced,5123054.595733643,0.13732683661458728
2012,Northeast,College,7878754.144798279,0.21119516939566674
2012,Northeast,Some college,8203237.335871379,0.2198931540319781
2012,Northeast,High school,12103829.536238352,0.32445108481140217
2012,Northeast,Less than high school,3996684.7718276978,0.10713375514636564
2012,Midwest,High school,14355129.88554128,0.32538565624910154
2012,Midwest,Some college,12435641.823600769,0.28187689752126094
2012,Midwest,College,8593098.462933859,0.19477852202445953
